objectId,ra_deg,dec_deg,gmag,rmag,jd_first,jd_latest,sherlock_class,redshift_z,photo_z,photo_z_err,distance_modulus,separation_kpc,class_reliability,fetched_utc
ZTF18aahtenq,170.85983944999998,39.2483394,19.5636,18.5152,2458575.7482639,2458580.7673958,SN,0.01,,,29.78,29.88,2,2026-03-24T12:32:39.811136+00:00
ZTF18aahtgdo,169.68647835000002,37.9461303,20.274,19.6105,2459628.9215509,2459636.9434259,SN,0.01,0.0,0.0,30.25,22.65,2,2026-03-24T12:32:39.811136+00:00
ZTF18aahthzg,162.3291357,44.067002099999996,,19.0489,2458433.0242477,2458557.7609144,SN,0.09,0.06,0.02,426.6,11.61,2,2026-03-24T12:32:39.811136+00:00
ZTF18aahtmug,166.3555514,30.9053361,,20.4729,2459968.8744792,2459968.8744792,SN,0.03,0.04,0.01,148.0,1.99,2,2026-03-24T12:32:39.811136+00:00
ZTF18aahtzth,179.4636115,27.8685182,,18.2194,2459871.0416551,2459871.0416551,SN,0.01,0.03,0.01,48.32,0.27,2,2026-03-24T12:32:39.811136+00:00
ZTF18aahueoe,186.72702887999998,15.477566439999999,19.6755,,2460412.8422338,2460442.7133449,SN,0.005,0.0,0.0,22.995,9.66,2,2026-03-24T12:32:39.811136+00:00
ZTF18aahuglb,205.7006967,44.2336607,20.2016,,2458279.7223032,2458337.6758218,SN,0.04,,,195.41,32.21,2,2026-03-24T12:32:39.811136+00:00
ZTF18aahuhqn,200.31040324999998,42.60564925,,19.7195,2458276.7070718,2458543.8717361,SN,0.08,0.1,0.02,373.51,16.47,2,2026-03-24T12:32:39.811136+00:00
ZTF18aahunaw,173.43501415,49.8298147,19.476,18.0122,2460323.9942245,2460352.9847685,SN,0.01,0.0,0.0,45.046,25.75,2,2026-03-24T12:32:39.811136+00:00
ZTF18aahunka,174.6417636,44.089475300000004,18.6665,,2460261.9723843,2460289.9146875,SN,0.036,0.15,0.023,157.974,11.416,2,2026-03-24T12:32:39.811136+00:00
ZTF18aahurfo,204.1077849987305,39.660223538257,20.2708,20.3715,2458272.75,2458279.7431134,SN,0.01,,,35.31,27.54,2,2026-03-24T12:32:39.811136+00:00
ZTF18aahuumo,203.3598417,32.4587411,19.717,,2461038.0337616,2461038.0337616,SN,0.024,0.0,0.0,106.831,28.205,2,2026-03-24T12:32:39.811136+00:00
ZTF18aahuvte,187.727080475,21.246872357142855,,19.5657,2461094.9131713,2461123.8433681,SN,0.028,0.038,0.01,120.771,2.158,2,2026-03-24T12:32:39.811136+00:00
ZTF18aahvbca,187.4731329,14.0680149,,18.0221,2460247.0361458,2460247.0361458,SN,0.01,0.01,0.01,23.11,0.15,2,2026-03-24T12:32:39.811136+00:00
ZTF18aahveem,184.1766053,7.9116502,20.0487,,2460059.8174537,2460059.8174537,SN,0.01,0.0,0.0,31.71,31.96,2,2026-03-24T12:32:39.811136+00:00
ZTF18aahvijp,198.4329351,15.6107289,19.1308,,2459971.8727894,2459971.8727894,SN,0.05,0.05,0.01,207.55,29.93,2,2026-03-24T12:32:39.811136+00:00
ZTF18aahvimk,193.0800846,22.2065701,20.211,19.5142,2461111.8743981,2461118.8317477,SN,0.128,0.119,0.021,599.108,4.868,2,2026-03-24T12:32:39.811136+00:00
ZTF18aahvndq,198.72267071875,27.00864395,17.5012,16.6292,2459018.7073958,2459045.7380903,SN,0.02,0.03,0.01,66.91,0.55,2,2026-03-24T12:32:39.811136+00:00
ZTF18aahvnir,193.4958069,26.4441404,,18.2715,2459889.031713,2459889.031713,SN,0.02,0.01,0.01,102.85,0.68,2,2026-03-24T12:32:39.811136+00:00
ZTF18aahvpag,202.40434375,29.7185098,20.3467,18.3265,2458556.9217708,2458575.8184491,SN,0.05,,,212.39,40.27,2,2026-03-24T12:32:39.811136+00:00
ZTF18aahvxpd,198.47285395,45.0575757,20.5761,20.474,2458276.7432523,2458282.7059259,SN,0.02,,,105.85,36.48,2,2026-03-24T12:32:39.811136+00:00
ZTF18aahwane,181.3915597,50.5395004,19.2801,,2460734.8942708,2460734.8942708,SN,0.003,0.0,0.0,10.831,0.18,2,2026-03-24T12:32:39.811136+00:00
ZTF18aahwvim,187.2726122,13.2489839,,21.0263,2460411.8050463,2460411.8050463,SN,0.002,0.0,0.0,9.687,9.686,2,2026-03-24T12:32:39.811136+00:00
ZTF18aahwvmu,187.923306,10.7964935,19.5225,,2460687.9990046,2460687.9990046,SN,0.002,0.0,0.0,9.107,7.191,2,2026-03-24T12:32:39.811136+00:00
ZTF18aahwwbv,188.0055119,14.4141303,,18.4544,2461123.807338,2461123.807338,SN,0.008,0.0,0.0,32.779,3.255,2,2026-03-24T12:32:39.811136+00:00
ZTF18aahwwgn,187.4431402,8.0000827,,16.4668,2460982.0547106,2460982.0547106,SN,0.003,0.005,0.009,14.049,0.486,2,2026-03-24T12:32:39.811136+00:00
ZTF18aahxawv,180.36872825,29.7108198,,17.7702,2458292.7366435,2458292.7366435,SN,0.05,,,227.92,18.69,2,2026-03-24T12:32:39.811136+00:00
ZTF18aahxcey,177.74321988,29.739792039999998,19.8198,18.8323,2458559.755544,2458575.812581,SN,0.24,0.2,0.02,1177.43,24.5,2,2026-03-24T12:32:39.811136+00:00
ZTF18aahxiaz,192.762089825,41.382849025,20.7556,,2458875.9502546,2458884.9714236,SN,0.04,0.04,0.01,190.25,26.89,2,2026-03-24T12:32:39.811136+00:00
ZTF18aahxitq,192.87161020000002,25.09133155,19.7028,,2458276.713044,2458665.6948264,SN,0.07,,,314.95,43.83,2,2026-03-24T12:32:39.811136+00:00
ZTF18aahxpha,208.22762455,28.19277615,18.6609,,2460388.9156829,2460391.8846412,SN,0.062,0.0,0.0,276.282,49.505,2,2026-03-24T12:32:39.811136+00:00
ZTF18aahxpil,212.89931347499999,28.215200175,,19.502,2461028.0540509,2461057.0065162,SN,0.073,0.081,0.008,328.466,9.019,2,2026-03-24T12:32:39.811136+00:00
ZTF18aahxqza,207.20359581111111,26.782312025925926,20.0892,19.2206,2461050.0060301,2461076.9836343,SN,0.087,0.069,0.02,399.159,6.392,2,2026-03-24T12:32:39.811136+00:00
ZTF18aahxruw,212.39237476582048,23.671183322925,19.8472,19.3448,2458270.75,2458575.8179861,SN,0.15,,,719.55,39.28,2,2026-03-24T12:32:39.811136+00:00
ZTF18aahxske,214.82162110000002,30.81253085,19.841,18.7487,2458558.7764468,2458586.9019676,SN,0.07,0.08,0.02,307.57,21.06,2,2026-03-24T12:32:39.811136+00:00
ZTF18aahxuzs,218.1945278,49.4577814,18.912,,2461050.0523611,2461050.0523611,SN,0.007,0.0,0.0,30.115,0.258,2,2026-03-24T12:32:39.811136+00:00
ZTF18aahxxay,211.11466176666667,44.377305400000004,,19.7418,2458523.0396181,2458547.989838,SN,0.22,0.24,0.01,1071.7,47.96,2,2026-03-24T12:32:39.811136+00:00
ZTF18aahxyee,207.750788,36.9538843,,17.898,2461076.9660417,2461076.9660417,SN,0.017,0.021,0.007,75.725,0.488,2,2026-03-24T12:32:39.811136+00:00
ZTF18aahxzil,217.3821109,44.4542438,20.1102,,2458276.7612153,2458279.7266782,SN,0.01,,,39.56,42.08,2,2026-03-24T12:32:39.811136+00:00
ZTF18aahyevp,203.24519100859402,46.5411829594725,20.1946,,2458272.75,2458279.7223032,SN,0.01,,,37.1,36.9,2,2026-03-24T12:32:39.811136+00:00
ZTF18aahyexc,203.9038236,41.0580273,18.7879,,2459914.9880671,2459914.9880671,SN,0.07,0.07,0.02,295.52,10.96,2,2026-03-24T12:32:39.811136+00:00
ZTF18aahymae,205.62432725000002,48.91536755,20.5473,19.6995,2458279.7223032,2458279.7449884,SN,0.24,0.25,0.02,1184.83,40.36,2,2026-03-24T12:32:39.811136+00:00
ZTF18aahyuqg,207.7961681,27.0455758,,18.8065,2460122.7682176,2460122.7682176,SN,0.06,0.06,0.01,281.35,1.78,2,2026-03-24T12:32:39.811136+00:00
